C,H,O,N,S,P,Se,Na,Cl,13C,m/z,H/C,O/C,KM,NKM,KMD,DBE,DBE-O,13Cratio,AImod,Q1P1-10m,Q1P1-20m,Q1P1-30m,Q1P1-60m,Q1P1-90m,Q1P1-315m,Q1P4-0.5m,Q1P4-10m,Q1P4-20m,Q1P4-30m,Q1P4-60m,Q1P4-90m,Q1P4-314m,Q1P6-10m,Q1P6-20m,Q1P6-30m,Q1P6-60m,Q1P6-90m,Q1P6-822m,Q1P7-0.5m,Q1P7-10m,Q1P7-20m,Q1P7-30m,Q1P7-60m,Q1P7-90m,Q1P7-3345m,Q2P1-10m,Q2P1-20m,Q2P1-30m,Q2P1-30m-2,Q2P1-60m,Q2P1-90m,Q2P1-316m,Q2P4-0.5m,Q2P4-10m,Q2P4-20m,Q2P4-30m,Q2P4-60m,Q2P4-90m,Q2P4-352m,Q2P6-0.5m,Q2P6-10m,Q2P6-20m,Q2P6-30m,Q2P6-60m,Q2P6-90m,Q2P6-922m,Q2P7-0.5m,Q2P7-10m,Q2P7-20m,Q2P7-30m,Q2P7-60m,Q2P7-90m,Q2P7-3237m,Q4P1-10m,Q4P1-20m,Q4P1-30m,Q4P1-90m,Q4P1-150m,Q4P1-316m,Q4P2-10m,Q4P2-30m,Q4P2-60m,Q4P2-90m,Q4P2-176m,Q4P4-10m,Q4P4-20m,Q4P4-30m,Q4P4-40m,Q4P4-50m,Q4P4-334m,Q4P5-10m,Q4P5-20m,Q4P5-30m,Q4P5-40m,Q4P5-90m,Q4P5-139m,Q4P6-10m,Q4P6-20m,Q4P6-30m,Q4P6-40m,Q4P6-120m,Q4P6-871,Q4P7-10m,Q4P7-20m,Q4P7-30m,Q4P7-40m,Q4P7-200m,Q4P7-3415m,Q1P7-MQ1,Q1P7-MQ2,Q1P7-MQ3,Q2P1-MQ1,Q2P1-MQ2,Q2P1-MQ3,PLFA-3,PLFA-4,PLFA-5,PLFA-6,PLFA-7,PLFA-New2b
8,12,3,0,0,0,0,0,0,0,155.071367,1.5,0.375,154.898213,155,0.101786774,3,0,0.0889787664,0.230769231,0,0,0,0,0,0,0,66.2670894,0,0,44.2182931,0,2442.90208,37.066836,30.7585495,25.367605,0,0,0,0,0,0,0,0,0,182.414631,132.177004,595.99771,0,0,0,0,0,0,415.501535,0,0,0,502.166261,0,0,1864.38206,0,0,0,0,188.301527,1260.22617,1485.1189,147.789119,725.199599,149.087256,282.928847,182.379139,0,141.085681,62.2684588,50.7894141,0,0,86.191431,57.6310122,283.680634,49.7452969,1676.93167,60.7474703,0,47.8040012,87.621226,108.780289,102.851391,120.443942,69.8013988,47.6636274,98.5647123,0,1099.05672,0,122.192855,66.1928756,39.4429582,1044.93242,601.469437,0,282.07235,52.6005962,104.863371,46.0694982,580.031429,0,0,0,0,0,0,957.696694,1013.75855,1147.95114,1046.97279,1137.65075,980.646338
9,16,2,0,0,0,0,0,0,0,155.107753,1.77777778,0.222222222,154.934558,155,0.0654420023,2,0,0.100101112,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,539.553574,565.822341,557.443147,587.866217,479.52319,630.964719
6,7,4,1,0,0,0,0,0,0,156.030231,1.16666667,0.666666667,155.856006,156,0.14399385,3,-1,0.0667340748,0.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.3528634,38.4890843,45.7114371,24.0636572,26.7736204,24.8428215
7,11,3,1,0,0,0,0,0,0,156.066616,1.57142857,0.428571429,155.892351,156,0.107649078,2,-1,0.0778564206,0.111111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95.8051666,70.4243456,100.530132,99.9987398,100.977113,75.3705963
8,15,2,1,0,0,0,0,0,0,156.103002,1.875,0.25,155.928696,156,0.0713043063,1,-1,0.0889787664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.0522363,0,0,0,0,0
6,6,3,0,1,0,0,0,0,0,156.996488,1,0.5,156.821185,157,0.178815381,4,1,0.0667340748,0.428571429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1335.72466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77.7133652,129.846837,113.631189,82.4507454,88.3399419,92.4053223,0,0,0,25.4222603,0,0,0,0,0,0,0,134.487983,139.402331,0,168.99633,95.0011472,0,0,0,0,0,0,0,137.524055,242.548186,194.570683,183.511947,377.487013,547.593778,0,0,0,0,0,0,20.3943521,21.9583837,0,34.2919372,30.4035085,21.81769
6,6,5,0,0,0,0,0,0,0,157.014246,1,0.833333333,156.838923,157,0.16107701,4,-1,0.0667340748,0.428571429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136.655356,0,0,0,0,0,0,0,0,634.188326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70.3818035,49.2289275,89.2942106,98.6971139,103.774965,37.4791501
5,6,4,2,0,0,0,0,0,0,157.02548,1.2,0.8,156.850144,157,0.149856154,2,-2,0.055611729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.871149
7,10,2,0,1,0,0,0,0,0,157.032874,1.42857143,0.285714286,156.857529,157,0.14247061,3,1,0.0778564206,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.4416286,0,0,0,0
7,10,4,0,0,0,0,0,0,0,157.050632,1.42857143,0.571428571,156.875268,157,0.124732239,3,-1,0.0778564206,0.2,0,0,97.8851312,0,97.3026634,0,296.349815,116.29923,117.852713,0,82.4902951,112.856518,3886.85534,48.9212985,65.7217332,80.7862159,81.7739868,0,0,123.359816,0,233.518329,0,148.596489,0,0,235.359452,1798.93818,0,0,0,0,0,0,740.452565,0,71.8040099,0,808.080052,0,0,2829.24197,0,0,368.276961,0,369.037436,2173.98836,2341.95336,259.612965,1340.26375,322.231909,602.273188,351.981354,35.0706271,264.597121,88.8519143,79.6608653,49.7677304,0,133.96053,91.2672916,489.111663,79.9790772,2748.79548,111.738257,0,54.5689274,172.367382,217.901224,173.726514,220.060624,99.2581653,88.5684298,166.206233,0,1885.46923,0,228.597213,117.678835,0,1632.35079,1071.607,0,475.373346,115.753022,185.084942,97.6515856,1081.77293,0,0,0,0,0,0,2715.22184,2782.63392,2938.39128,2751.99604,2722.87964,2731.52831
