C,H,O,N,S,Na,m/z
18,18,8,0,0,0,361.09289
17,18,7,2,0,0,361.104124
15,22,10,0,0,0,361.114019
19,22,7,0,0,0,361.129276
18,22,6,2,0,0,361.140509
20,26,6,0,0,0,361.165661
21,30,5,0,0,0,361.202047
17,17,8,1,0,0,362.088139
18,21,7,1,0,0,362.124525
19,25,6,1,0,0,362.16091
16,16,8,2,0,0,363.083388
18,20,8,0,0,0,363.10854
17,20,7,2,0,0,363.119774
19,24,7,0,0,0,363.144926
20,28,6,0,0,0,363.181311
21,32,5,0,0,0,363.217696
17,19,8,1,0,0,364.103789
18,23,7,1,0,0,364.140175
19,27,6,1,0,0,364.17656
17,18,9,0,0,0,365.087805
16,18,8,2,0,0,365.099038
18,22,8,0,0,0,365.12419
17,22,7,2,0,0,365.135424
19,26,7,0,0,0,365.160576
20,30,6,0,0,0,365.196961
16,17,9,1,0,0,366.083054
17,21,8,1,0,0,366.119439
18,25,7,1,0,0,366.155825
19,29,6,1,0,0,366.19221
15,16,9,2,0,0,367.078303
17,20,9,0,0,0,367.103455
16,20,8,2,0,0,367.114688
18,24,8,0,0,0,367.13984
19,28,7,0,0,0,367.176226
20,32,6,0,0,0,367.212611
16,19,9,1,0,0,368.098704
17,23,8,1,0,0,368.135089
18,27,7,1,0,0,368.171475
16,18,10,0,0,0,369.082719
17,22,7,0,1,0,369.101347
17,22,9,0,0,0,369.119105
18,26,8,0,0,0,369.15549
19,30,7,0,0,0,369.191876
16,21,9,1,0,0,370.114354
20,21,6,1,0,0,370.12961
17,25,8,1,0,0,370.150739
18,29,7,1,0,0,370.187125
16,20,8,0,1,0,371.080611
16,20,10,0,0,0,371.098369
20,20,7,0,0,0,371.113626
17,24,9,0,0,0,371.134755
21,24,6,0,0,0,371.150011
18,28,8,0,0,0,371.17114
22,28,5,0,0,0,371.186397
19,32,7,0,0,0,371.207526
19,19,7,1,0,0,372.108875
16,23,9,1,0,0,372.130004
20,23,6,1,0,0,372.14526
17,27,8,1,0,0,372.166389
16,22,8,0,1,0,373.096261
18,18,7,2,0,0,373.104124
16,22,10,0,0,0,373.114019
20,22,7,0,0,0,373.129276
19,22,6,2,0,0,373.140509
17,26,9,0,0,0,373.150405
21,26,6,0,0,0,373.165661
18,30,8,0,0,0,373.18679
22,30,5,0,0,0,373.202047
18,17,8,1,0,0,374.088139
19,21,7,1,0,0,374.124525
20,25,6,1,0,0,374.16091
17,16,8,2,0,0,375.083388
19,20,8,0,0,0,375.10854
18,20,7,2,0,0,375.119774
20,24,7,0,0,0,375.144926
19,24,6,2,0,0,375.156159
21,28,6,0,0,0,375.181311
22,32,5,0,0,0,375.217696
18,19,8,1,0,0,376.103789
19,23,7,1,0,0,376.140175
20,27,6,1,0,0,376.17656
17,18,8,2,0,0,377.099038
19,22,8,0,0,0,377.12419
18,22,7,2,0,0,377.135424
20,26,7,0,0,0,377.160576
19,26,6,2,0,0,377.171809
21,30,6,0,0,0,377.196961
22,34,5,0,0,0,377.233347
17,17,9,1,0,0,378.083054
18,21,8,1,0,0,378.119439
19,25,7,1,0,0,378.155825
20,29,6,1,0,0,378.19221
16,16,9,2,0,0,379.078303
18,20,9,0,0,0,379.103455
17,20,8,2,0,0,379.114688
19,24,8,0,0,0,379.13984
18,24,7,2,0,0,379.151074
20,28,7,0,0,0,379.176226
